iso3,year,forest_area_kha,forest_area_kha_decadal_change_pct,co2_per_gdp_kg_per_usd,co2_per_gdp_kg_per_usd_decadal_change_pct,agriculture_value_added_share_gdp_pct,gdp_per_capita_ppp_const2017,agricultural_land_share_pct,urban_population_share_pct,hydro_electricity_share_pct,electricity_share_coal_pct,electricity_share_gas_pct,electricity_share_renewables_excl_hydro_pct,electrification_rate_pct,soy_area_kha,sugarcane_area_kha,pasture_area_kha,fertilizer_use_kg_per_ha,protected_areas_share_pct,control_of_corruption_est,rule_of_law_est,gini_index,rural_extreme_poverty_pct,lulucf_total_kt_co2eq,terms_of_trade_index,renewable_electricity_share_pct,oil_rents_share_gdp_pct,gdp_constant_2015_usd,non_oil_gdp_constant_2015_usd,population_total,population_density
CHL,2010,16725.26,5.741901465885557,0.165,-7.821229050279321,3.62,24116.7694715614,19.7952795575712,87.074,35.9350696627726,27.9081311844326,17.6887182711719,4.82675315219909,99.5,0.0,,12.892422000000002,258569.0,,1.44162690639496,1.22541570663452,,,-97622.3046,98.541674140225,40.7618228149717,0.0177167005915164,200151851762.225,200116391457.91992,17181464.0,23.107901206673
CHL,2020,18210.7,8.881416492180104,0.165,0.0,4.04,26248.5616432825,14.9026289456383,87.727,26.0414558356053,31.0383008107818,18.2062790946865,22.7416094198326,100.0,0.0,,9.157163,247936.0,,1.10613715648651,0.930162131786346,0.4880000054836273,13.899999618530272,5279.5063,102.926031839772,48.783065255438,0.0073483419512708,245600606668.884,245582559096.4716,19370624.0,26.0767352343796
COL,2000,62735.5,,0.127,,,10813.4942250011,40.4317260027039,73.957,74.3641464375971,5.10305812524634,19.1347290811713,-0.2259859497809,95.2,17.231,406.012,40.314,334300.0,240531.25,-0.406262516975403,-0.925037920475006,,,138245.695,33.4059632241422,74.1381604878162,5.13691457442314,157016818928.93,148950999073.07422,39089934.0,35.2320270392068
COL,2010,60807.79,-3.072757848427121,0.09,-29.13385826771654,6.32,14037.0642668639,38.3082469580892,77.964,66.6364281119596,6.75419353774596,19.7430272641805,1.90202708274918,96.8,31.604,348.531,39.15,404440.0,,-0.42333310842514,-0.271385610103607,0.5550000071525574,39.29999923706055,48815.3182,81.9880269434528,68.5384551947088,4.39207978728564,233479933032.173,223225308086.09888,44777319.0,40.3581063542136
COL,2020,59141.91,-2.7395832014286303,0.087,-3.3333333333333326,7.47,15861.4999291295,39.8467278954484,81.425,62.8254283523363,11.8128449131982,19.0938918151077,2.45172158040956,99.7,46.393,407.583,39.504278,528009.0,,-0.252498596906662,-0.491402626037598,0.5519999861717224,38.400001525878906,72130.122,83.2326464097242,65.2771499327459,1.56279790261714,298309675728.093,293647698372.5104,50629997.0,45.6331653898152
ECU,2000,13730.5,,0.157,,,9183.05155276919,32.477049444355,60.299,71.7206935544666,0.0,1.96767810026385,0.0021673577082548,93.7,55.156,77.375,5.087,71600.0,204869.66,-0.79962956905365,-0.666360259056091,,,36556.6535,35.6301014891105,71.7228609121749,16.3324950885101,50165491738.8835,41972215264.50341,12689206.0,51.0919874375906
ECU,2010,13028.19,-5.1149630384909495,0.185,17.834394904458595,9.73,11665.6978598204,30.1888387824126,62.69,44.2644797539723,0.0,8.98001025115325,1.22711430035879,97.5,43.0,106.928,4.9199,159096.0,,-0.707744359970093,-1.14322912693024,0.4900000095367431,32.70000076293945,52714.1316,83.4005062823295,45.4915940543311,11.1941478463167,75718234074.2169,67242223005.32892,15076695.0,60.7050048316959
ECU,2020,12497.83,-4.070864793958339,0.144,-22.16216216216217,9.84,12440.3263747814,21.8231599291351,64.166,77.8705837173579,0.0,3.81144393241167,1.84511008704557,98.9,19.682,139.406,2.939,208213.0,,-0.504086554050446,-0.540949642658234,0.4659999907016754,30.600000381469727,29119.1111,89.1232924009565,79.7156938044035,2.56275988674609,93971273313.9152,91563015216.36163,17546065.0,70.6477089708488
GUY,2000,18564.22,,0.284,,,8025.29326490962,3.63360731521463,28.694,0.312883039803884,0.0,0.0,4.13844268111735,74.6,0.0,44.2,0.594,10737.0,4426.0,-0.42087984085083,-0.423614680767059,,,-49846.6193,,4.45132572092123,0.0,2875468427.07822,2875468427.07822,764832.0,3.88535433070866
GUY,2010,18519.81,-0.2392236248008217,0.238,-16.19718309859155,28.53,10374.3947557656,3.65252730505461,26.634,0.0,0.0,0.0,9.76909227935019,83.3,0.0,41.648,0.594,14136.0,,-0.562469244003296,-0.477120876312256,,,7940.2998,,9.76909227935019,0.0,3641452424.56855,3641452424.56855,749256.0,3.80622809245618
GUY,2020,18415.34,-0.564098659759471,0.176,-26.050420168067223,16.85,19234.1301977637,3.40532348204982,26.786,0.000832202924361,0.0,0.0,7.22518578930286,92.3,0.0,18.818,0.594,17473.0,,-0.173186764121056,-0.43357652425766,,,12891.4783,,7.22601799222723,7.3763575857274,7275896377.20418,6739200242.854614,807481.0,3.82438666287771
PER,2000,75297.83,,0.13,,,7669.0953178046,17.904590703125,73.042,81.1891131867028,1.74249271869037,3.95701516521041,0.699005724615848,72.5,2.151,63.817,17.8017,190116.0,97690.16,-0.404046177864075,-0.718046724796295,,,184509.3249,88.7456650128827,81.8881189113187,1.47089124400805,87409379264.7108,86123682358.66438,26598331.0,20.77994609375
PER,2010,74049.8,-1.6574581232951855,0.119,-8.461538461538465,6.83,12059.0180183322,18.644273125,76.43,55.8428531624408,2.37113402061856,34.0651992198384,0.692560601838952,88.1,1.427,76.983,18.6312,223425.0,,-0.253887414932251,-0.566099524497986,0.4709999859333038,24.600000381469727,169277.05349999998,76.0652819939601,56.5354137642797,0.792083877152532,150298879148.001,149108385958.72873,29086019.0,22.72345234375
PER,2020,72330.37,-2.3219914165872213,0.095,-20.168067226890752,7.7,13609.5999609595,19.125773046875,78.297,57.7808515072854,0.267161831858575,35.3563105140497,6.19480076548497,96.2,0.647,84.634,18.284,311854.0,,-0.524636924266815,-0.382843524217606,0.4639999866485595,28.39999961853028,77013.3468,112.478242920961,63.9756522727703,0.104811146749273,191509018299.917,191308295501.7086,32838579.0,25.65513984375
PRY,2000,22991.65,,0.064,,,9998.59285445016,41.8709622451548,55.331,100.0,0.0,0.0,-0.0198160472594033,89.6,1176.46,59.45,13.5253333,18300.0,20397.06,-1.37370228767395,-0.989421188831329,,,131631.8005,102.53018177168,99.9801839527406,0.0033852367083102,20783433276.2554,20782729707.842888,5100868.0,12.8388321167883
PRY,2010,19570.21,-14.881228619955513,0.066,3.125,13.01,12738.5765601705,47.4473657186006,59.261,99.9981504087597,0.0,0.0,0.0029778418969407,97.4,2671.059,100.0,15.006545400000002,81616.0,,-0.707593381404877,-0.830411493778229,0.5270000100135803,32.5,65120.9592,71.9835815173031,,0.143936547562155,29786095177.4635,29743222100.411484,5737971.0,14.4424137931034
PRY,2020,16102.26,-17.72055588570587,0.073,10.606060606060597,10.73,14991.6606201094,52.7540030203876,62.183,99.9978435262659,0.0,0.0,0.551712240144915,99.7,3631.0,105.0,16.487757600000002,141490.0,,-0.857888102531433,-0.427826523780823,0.4519999921321869,22.299999237060547,51328.7401,95.2384162100183,,0.0299623174238903,40343536418.7875,40331448560.34568,6603739.0,16.621542914674
SUR,2000,15340.87,,0.19,,,16220.1790603262,0.548260608951812,66.444,88.3959044368601,0.0,0.0,16.2295221843003,95.4,0.034,3.0,0.021,5300.0,23470.6,0.454761356115341,-0.0384254194796085,,,-1819.9943,,,9.6570386910926,2921018934.53474,2638935005.852579,476643.0,2.96959751627976
SUR,2010,15299.86,-0.2673251256284703,0.139,-26.84210526315789,10.12,22772.4754543689,0.48782733728326,66.344,70.1856148491879,0.0,0.0,-8.38573085846868,91.2,0.015,3.0,0.0173,9844.0,,-0.332702100276947,-0.0577610395848751,,,3219.428,,61.7998839907193,5.82683537587144,4731486826.19641,4455790878.002901,549923.0,3.42614907791599
SUR,2020,15196.29,-0.6769342987452132,0.222,59.71223021582732,8.14,19091.3617184226,0.498418735410739,66.149,47.9802955665025,0.0,0.0,-13.8684729064039,98.4,0.005,1.847,0.016,13505.0,,-0.460734039545059,-0.13208894431591,,,10084.2558,,34.1118226600985,2.99417364471055,4416708447.1504,4284464526.8621182,612317.0,3.81487831013121
URY,2000,1369.0,,0.084,,,18752.0578112966,85.4645183407611,92.028,92.9230363732209,0.0,0.0,0.355034264628361,97.6,8.9,2.8,13.543,36242.0,3952.26,0.957407116889954,0.556891262531281,0.4410000145435333,10.899999618530272,-19059.1924,106.210025819487,93.2780706378492,0.0,36242902749.5716,36242902749.5716,3266206.0,18.6619014969718
URY,2010,1731.3,26.4645726807889,0.072,-14.285714285714302,7.2,24879.8350192618,82.4648611587247,94.414,78.2847564950182,0.0,0.744948319210355,10.8124592606388,99.3,848.8,6.5,12.362,151476.0,,1.29770147800446,0.786790609359741,0.4379999935626983,9.699999809265137,-14723.353900000002,58.8423216099834,89.097215755657,0.0173337959445058,48857389210.184,48848920370.03449,3318580.0,18.9611472974517
URY,2020,2031.0,17.310691387974366,0.065,-9.72222222222221,6.57,27788.1854968153,80.3531025025711,95.515,30.1177336276674,0.0,0.0,63.6309050772627,100.0,916.8,6.6,12.0,204059.0,,1.36466670036316,0.647405028343201,0.3970000147819519,5.0,832.7144,109.827362480898,93.7486387049301,0.0039642091130891,55890466349.1545,55888250734.19414,3398968.0,19.4204548051651
VEN,2000,49151.0,,0.282,,,,24.5280879768721,87.559,73.7484021531353,0.0,16.9858451290591,0.0,98.9,1.691,128.605,18.24,175000.0,509810.68,-0.642675042152405,-0.86523449420929,0.3919999897480011,44.20000076293945,66583.5301,146.830702820821,73.7484021531353,20.0011569684281,,,24526708.0,27.8064826257015
VEN,2010,47505.0,-3.348863705723182,0.266,-5.673758865248213,5.38,,24.3750354288306,88.083,67.4888148584387,0.0,16.6691571369554,0.0002812766443696,99.1,40.949,106.286,18.2,297320.0,,-1.2080090045929,-1.66915047168732,0.363999992609024,24.89999961853028,44424.1054,127.263020935094,67.4890961350831,11.6928975467648,,,28813101.0,32.6660631483476
VEN,2020,46230.9,-2.682033470161027,0.3,12.781954887218028,,,24.3750354288306,88.279,77.5856719085504,0.0,14.4671027318199,0.128858493961697,99.9,4.891,58.528,18.2,111517.0,,-1.57573306560516,-2.33193492889404,,,54048.0921,,77.7145304025121,,,,28444077.0,32.2476923076923
